word,score,meaning
stronger,2,Capable of producing great physical force.
strongest,2,Capable of producing great physical force.
struck,-1,(sometimes with out or through) To delete or cross out; to scratch or eliminate.
struggle,-2,A contortion of the body in an attempt to escape or to perform a difficult task.
struggled,-2,"To strive, to labour in difficulty, to fight (for or against), to contend."
struggles,-2,A contortion of the body in an attempt to escape or to perform a difficult task.
struggling,-2,"To strive, to labour in difficulty, to fight (for or against), to contend."
stubborn,-2,Stubbornness.
stuck,-2,To become or remain attached; to adhere.
stunned,-2,To incapacitate; especially by inducing disorientation or unconsciousness.
stunning,4,To incapacitate; especially by inducing disorientation or unconsciousness.
stupid,-2,A stupid person; a fool.
stupidly,-2,In a stupid manner.
suave,2,Sweet talk.
substantial,1,Anything having substance; an essential part.
substantially,1,In a strong substantial manner; considerably.
subversive,-2,A radical supporter of political or social revolution.
success,2,The achievement of one's aim or goal.
successful,3,"Resulting in success; assuring, or promoting, success; accomplishing what was proposed; having the desired effect"
suck,-3,An instance of drawing something into one's mouth by inhaling.
sucks,-3,An instance of drawing something into one's mouth by inhaling.
suffer,-2,To undergo hardship.
suffering,-2,To undergo hardship.
suffers,-2,To undergo hardship.
suicidal,-2,"Someone suicidal, someone likely to kill themselves"
suicide,-2,A tragic act resulting from despair.
suing,-2,"To file a legal action against someone, generally a non-criminal action."
sulking,-2,To express ill humor or offence by remaining sullenly silent or withdrawn.
sulky,-2,"A low two-wheeled cart, used in harness racing."
sullen,-2,"One who is solitary, or lives alone; a hermit."
sunshine,2,"The direct rays, light or warmth of the sun."
super,3,"Of excellent quality, superfine."
superb,5,First-rate; of the highest quality; exceptionally good.
superior,2,A person of higher rank or quality.
support,2,(sometimes attributive) Something which supports.
supported,2,To keep from falling.
supporter,1,A person who gives support to someone or something.
supporters,1,A person who gives support to someone or something.
supporting,1,To keep from falling.
supportive,2,Providing support.
supports,2,(sometimes attributive) Something which supports.
survived,2,"Of a person, to continue to live; to remain alive."
surviving,2,"Of a person, to continue to live; to remain alive."
survivor,2,"One who survives, especially one who survives a traumatic experience."
suspect,-1,"A person who is suspected of something, in particular of committing a crime."
suspected,-1,"To imagine or suppose (something) to be true, or to exist, without proof."
suspecting,-1,"To imagine or suppose (something) to be true, or to exist, without proof."
suspects,-1,"A person who is suspected of something, in particular of committing a crime."
suspend,-1,To halt something temporarily.
suspended,-1,To halt something temporarily.
suspicious,-2,Arousing suspicion.
swear,-2,"To take an oath, to promise."
swearing,-2,"To take an oath, to promise."
swears,-2,"To take an oath, to promise."
sweet,2,The basic taste sensation induced by sugar.
swift,2,A small plain-colored bird of the family Apodidae that resembles a swallow and is noted for its rapid flight.
swiftly,2,In a swift manner; quickly; with quick motion or velocity; fleetly.
swindle,-3,An instance of swindling.
swindles,-3,An instance of swindling.
swindling,-3,To defraud.
sympathetic,2,"Of, related to, showing, or characterized by sympathy"
sympathy,2,A feeling of pity or sorrow for the suffering or distress of another; compassion.
tard,-2,An offensive term for an unintelligent person. (Derived from 'retard.')
tears,-2,A hole or break caused by tearing.
tender,2,"Care, kind concern, regard."
tense,-2,(grammar) Any of the forms of a verb which distinguish when an action or state of being occurs or exists.
tension,-1,"The condition of being held in a state between two or more forces, which are acting in opposition to each other."
terrible,-3,"Dreadful; causing terror, alarm and fear; awesome"
terribly,-3,So as to cause terror or awe.
terrific,4,"Terrifying, causing terror; terrible; sublime, awe-inspiring."
terrified,-3,Extremely frightened.
terror,-3,"Intense dread, fright, or fear."
terrorize,-3,To fill (someone) with terror; to terrify.
terrorized,-3,To fill (someone) with terror; to terrify.
terrorizes,-3,To fill (someone) with terror; to terrify.
thank,2,An expression of appreciation; a thought.
thankful,2,Showing appreciation or gratitude.
thanks,2,An expression of appreciation; a thought.
thorny,-2,Having thorns or spines
thoughtful,2,Demonstrating thought or careful consideration.
thoughtless,-2,Marked by or showing lack of due thought or care; careless.
threat,-2,An expression of intent to injure or punish another.
threaten,-2,To make a threat against someone; to use threats.
threatened,-2,To make a threat against someone; to use threats.
threatening,-2,To make a threat against someone; to use threats.
threatens,-2,To make a threat against someone; to use threats.
threats,-2,An expression of intent to injure or punish another.
thrilled,5,"To suddenly excite someone, or to give someone great pleasure; to (figuratively) electrify; to experience such a sensation."
thwart,-2,A seat across a boat on which a rower may sit.
thwarted,-2,"To cause to fail; to frustrate, to prevent."
thwarting,-2,"To cause to fail; to frustrate, to prevent."
thwarts,-2,A seat across a boat on which a rower may sit.
timid,-2,Lacking in courage or confidence.
timorous,-2,Fearful; afraid; timid
tired,-2,To become sleepy or weary.
tits,-2,"A mammary gland, teat."
tolerant,2,"Tending to permit, allow, understand, or accept something"
toothless,-2,Having no teeth.
top,2,The highest or uppermost part of something.
tops,2,The highest or uppermost part of something.
torn,-2,"To rend (a solid material) by holding or restraining in two places and pulling apart, whether intentionally or not; to destroy or separate."
torture,-4,Intentional causing of somebody's experiencing agony
tortured,-4,To intentionally inflict severe pain or suffering on (someone).
tortures,-4,Intentional causing of somebody's experiencing agony
torturing,-4,To intentionally inflict severe pain or suffering on (someone).
totalitarian,-2,An advocate of totalitarianism.
totalitarianism,-2,"A system of government in which the people have virtually no authority and the state wields absolute control, for example, a dictatorship."
tout,-2,Someone advertising for customers in an aggressive way.
touted,-2,"To flaunt, to publicize/publicise; to boast or brag; to promote."
touting,-2,"To flaunt, to publicize/publicise; to boast or brag; to promote."
touts,-2,Someone advertising for customers in an aggressive way.
tragedy,-2,"A drama or similar work, in which the main character is brought to ruin or otherwise suffers the extreme consequences of some tragic flaw or weakness of character."
tragic,-2,"An obsessive fan, a superfan"
tranquil,2,Free from emotional or mental disturbance.
trap,-1,"A machine or other device designed to catch (and sometimes kill) animals, either by holding them in a container, or by catching hold of part of the body."
trapped,-2,"To physically capture, to catch in a trap or traps, or something like a trap."
trauma,-3,"Any serious injury to the body, often resulting from violence or an accident."
traumatic,-3,"Of, caused by, or causing trauma."
travesty,-2,An absurd or grotesque misrepresentation.
treason,-3,The crime of betraying one’s own country.
treasonous,-3,Like or in the way of treason.
treasure,2,"A collection of valuable things; accumulated wealth; a stock of money, jewels, etc."
treasures,2,"A collection of valuable things; accumulated wealth; a stock of money, jewels, etc."
trembling,-2,"To shake, quiver, or vibrate."
tremulous,-2,"Trembling, quivering, or shaking."
tricked,-2,To fool; to cause to believe something untrue; to deceive.
trickery,-2,Deception or underhanded behavior.
triumph,4,"A conclusive success following an effort, conflict, or confrontation of obstacles; victory; conquest."
triumphant,4,Celebrating victory.
trouble,-2,A distressing or dangerous situation.
troubled,-2,"To disturb, stir up, agitate (a medium, especially water)."
troubles,-2,A distressing or dangerous situation.
TRUE,2,The state of being in alignment.
trust,1,Confidence in or reliance on some person or quality.
trusted,2,"To place confidence in; to rely on, to confide, or have faith, in."
tumor,-2,"An abnormal growth; differential diagnosis includes abscess, metaplasia, and neoplasia."
twat,-5,The vagina or vulva.
ugly,-3,Ugliness.
unacceptable,-2,Something that is not acceptable.
unappreciated,-2,"Not deemed to have any value, valueless, worthless"
unapproved,-2,Not approved.
unaware,-2,Not aware or informed; lacking knowledge.
unbelievable,-1,Not to be believed.
unbelieving,-1,"That does not believe; incredulous, skeptical"
unbiased,2,Impartial or without bias or prejudice.
uncertain,-1,(with the) Something uncertain.
unclear,-1,Ambiguous; liable to more than one interpretation.
uncomfortable,-2,Not comfortable; causing discomfort.
unconcerned,-2,Indifferent and having no interest; aloof.
unconfirmed,-1,"Not finally established, settled or confirmed."
unconvinced,-1,Not convinced or lacking conviction
uncredited,-1,Unacknowledged.
undecided,-1,To reverse or recant (a previous decision).
underestimate,-1,An estimate that is too low.
underestimated,-1,"To perceive (someone or something) as having a lower value, quantity, worth, etc., than what he/she/it actually has."
underestimates,-1,An estimate that is too low.
underestimating,-1,"To perceive (someone or something) as having a lower value, quantity, worth, etc., than what he/she/it actually has."
undermine,-2,"To dig underneath (something), to make a passage for destructive or military purposes; to sap."
undermined,-2,"To dig underneath (something), to make a passage for destructive or military purposes; to sap."
undermines,-2,"To dig underneath (something), to make a passage for destructive or military purposes; to sap."
undermining,-2,"To dig underneath (something), to make a passage for destructive or military purposes; to sap."
undeserving,-2,Considered unworthy of reward.
undesirable,-2,An undesirable person
uneasy,-2,Not easy; difficult.
unemployment,-2,The state of having no job; joblessness.
unequal,-1,One who is not an equal.
unequaled,2,"Unmatched, superlative, the best ever done, record setting."
unethical,-2,Not morally approvable; morally bad; not ethical.
unfair,-2,To make ugly
unfocused,-2,Not focused
unfulfilled,-2,Lacking fulfillment; marked by a feeling of failure to achieve goals or desires.
unhappy,-2,An individual who is not happy.
unhealthy,-2,"Characterized by, or conducive to poor health"
unified,1,United into a whole
unimpressed,-2,Too fail to impress positively; to leave very little impression or a bad impression;
unintelligent,-2,Not intelligent.
united,1,To bring together as one.
unjust,-2,"Not fair, just or right."
unlovable,-2,Not lovable.
unloved,-2,To lose one's love (for someone or something).
unmatched,1,To separate a matching pair.
unmotivated,-2,"Lacking motivation, without impetus to strive or excel."
unprofessional,-2,One who is not a professional.
unresearched,-2,Not researched.
unsatisfied,-2,"Not satisfied, especially with the quantity of something"
unsecured,-2,Not physically secured; not fastened; not attached.
unsettled,-1,To make upset or uncomfortable
unsophisticated,-2,Not sophisticated; lacking sophistication.
unstable,-2,To release (an animal) from a stable.
unstoppable,2,Unable to be stopped.
unsupported,-2,Without physical support.
unsure,-1,Uncertain
untarnished,2,Not tarnished
unwanted,-2,One who or that which is not wanted; an undesirable.
unworthy,-2,An inadequate person.
upset,-2,Disturbance or disruption.
upsets,-2,Disturbance or disruption.
upsetting,-2,"To make (a person) angry, distressed, or unhappy."
uptight,-2,An uptight person.
urgent,-1,Requiring immediate attention.
useful,2,Having a practical or beneficial use.
usefulness,2,The quality or degree of being useful.
useless,-2,Without use or possibility to be used.
uselessness,-2,The quality of being useless
vague,-2,A wandering; a vagary.
validate,1,To render valid.
validated,1,To render valid.
validates,1,To render valid.
validating,1,To render valid.
verdict,-1,A decision on an issue of fact in a civil or criminal case or an inquest.
verdicts,-1,A decision on an issue of fact in a civil or criminal case or an inquest.
vested,1,"To clothe with, or as with, a vestment, or garment; to dress; to robe; to cover, surround, or encompass closely."
vexation,-2,"The act of annoying, vexing, or irritating."
vexing,-2,"To trouble aggressively, to harass."
vibrant,3,Pulsing with energy or activity.
vicious,-2,"Violent, destructive and cruel."
victim,-3,"One that is harmed—killed, injured, subjected to oppression, deceived, or otherwise adversely affected—by someone or something, especially another person or event, force, or condition; in particular:"
victimize,-3,To make someone a victim or sacrifice.
victimized,-3,To make someone a victim or sacrifice.
victimizes,-3,To make someone a victim or sacrifice.
victimizing,-3,To make someone a victim or sacrifice.
victims,-3,"One that is harmed—killed, injured, subjected to oppression, deceived, or otherwise adversely affected—by someone or something, especially another person or event, force, or condition; in particular:"
vigilant,3,"Watchful, especially for danger or disorder; alert; wary"
vile,-3,Morally low; base; despicable.
vindicate,2,"To clear of an accusation, suspicion or criticism."
vindicated,2,"To clear of an accusation, suspicion or criticism."
vindicates,2,"To clear of an accusation, suspicion or criticism."
vindicating,2,"To clear of an accusation, suspicion or criticism."
violate,-2,To break or disregard (a rule or convention).
violated,-2,To break or disregard (a rule or convention).
violates,-2,To break or disregard (a rule or convention).
violating,-2,To break or disregard (a rule or convention).
violence,-3,Extreme force.
violent,-3,An assailant.
virtuous,2,"Full of virtue, having excellent moral character."
virulent,-2,"(of a disease or disease-causing agent) Highly infectious, malignant or deadly."
vision,1,The sense or ability of sight.
visionary,3,Someone who has visions; a seer
visioning,1,To imagine something as if it were to be true.
visions,1,The sense or ability of sight.
vitality,3,The capacity to live and develop.
vitamin,1,"Any of a specific group of organic compounds essential in small quantities for healthy human growth, metabolism, development, and body function; found in minute amounts in plant and animal foods or sometimes produced synthetically; deficiencies of specific vitamins produce specific disorders."
vitriolic,-3,Of or pertaining to vitriol; derived from or resembling vitriol.
vivacious,3,Lively and animated; full of life and energy.
vociferous,-1,Making or characterized by a noisy outcry; clamorous.
vulnerability,-2,Susceptibility to attack or injury; the state or condition of being weak or poorly defended.
vulnerable,-2,"More or most likely to be exposed to the chance of being attacked or harmed, either physically or emotionally."
walkout,-2,A sudden stoppage of work.
walkouts,-2,A sudden stoppage of work.
wanker,-3,A person who wanks.
want,1,"A desire, wish, longing."
war,-2,"Organized, large-scale, armed conflict between countries or between national, ethnic, or other sizeable groups, usually involving the engagement of military forces."
warfare,-2,The waging of war or armed conflict against an enemy.
warm,1,"Having a temperature slightly higher than usual, but still pleasant; mildly hot."
warmth,2,A moderate degree of heat; the sensation of being warm.
warn,-2,To make (someone) aware of (something impending); especially:
warned,-2,To make (someone) aware of (something impending); especially:
warning,-3,To make (someone) aware of (something impending); especially:
warnings,-3,The action of the verb warn; an instance of warning someone.
warns,-2,To make (someone) aware of (something impending); especially:
waste,-1,"Excess of material, useless by-products or damaged, unsaleable products; garbage; rubbish."
wasted,-2,"To devastate, destroy"
wasting,-2,"To devastate, destroy"
wavering,-1,To sway back and forth; to totter or reel.
weak,-2,Lacking in force (usually strength) or ability.
weakness,-2,The condition of being weak.
wealth,3,Riches; valuable material possessions.
wealthy,2,A rich person.
weary,-2,To make or to become weary.
weep,-2,A session of crying.
weeping,-2,To cry; shed tears.
weird,-2,Fate; destiny; luck.
welcome,2,"The act of greeting someone’s arrival, especially by saying Welcome!; reception."
welcomed,2,"To affirm or greet the arrival of someone, especially by saying Welcome!."
welcomes,2,"The act of greeting someone’s arrival, especially by saying Welcome!; reception."
whimsical,1,Given to whimsy.
whitewash,-3,A lime and water mixture for painting walls and fences bright white.
whore,-4,"Any person (especially a woman) who has sexual intercourse or engages in other sexual activity for payment, especially as a means of livelihood."
wicked,-2,People who are wicked.
widowed,-1,To make a widow or widower of someone; to cause the death of the spouse of.
willingness,2,The state of being willing
win,4,"To conquer, defeat."
winner,4,One who has won or often wins.
winning,4,"To conquer, defeat."
wins,4,"To conquer, defeat."
winwin,3,Describing a situation beneficial for everyone. (Shortened form of 'win-win.')
wish,1,"A desire, hope, or longing for something or for something to happen."
wishes,1,"A desire, hope, or longing for something or for something to happen."
wishing,1,To desire; to want.
withdrawal,-3,Receiving from someone's care what one has earlier entrusted to them. Usually refers to money.
woebegone,-2,In a deplorable state.
woeful,-3,Full of woe; sorrowful; distressed with grief or calamity.
won,3,"To conquer, defeat."
wonderful,4,"Tending to excite wonder; surprising, extraordinary."
woo,3,To endeavor to gain someone's support.
woohoo,3,An expression of joy or excitement.
wooo,4,An energetic shout of happiness. (Exaggerated spelling of 'woo.')
woow,4,An expression of being strongly impressed. (Misspelling or elongation of 'wow.')
worn,-1,"To carry or have equipped on or about one's body, as an item of clothing, equipment, decoration, etc."
worried,-3,Thinking about unpleasant things that have happened or that might happen; feeling afraid and unhappy.
worry,-3,A strong feeling of anxiety.
worrying,-3,To be troubled; to give way to mental anxiety or doubt.
worse,-3,Unfavorable; negative; not good.
worsen,-3,To make worse; to impair.
worsened,-3,To make worse; to impair.
worsening,-3,To make worse; to impair.
worsens,-3,To make worse; to impair.
worshiped,3,"To reverence (a deity, etc.) with supreme respect and veneration; to perform religious exercises in honour of."
worst,-3,Unfavorable; negative; not good.
worth,2,Value.
worthless,-2,Having no worth or use; without value; inconsequential.
worthy,2,A distinguished or eminent person
wow,4,"Anything exceptionally surprising, unbelievable, outstanding, etc."
wowow,4,Showing a high level of amazement or excitement. (Playful repetition of 'wow.')
wowww,4,Showing intense amazement or admiration. (Extended form of 'wow.')
wrathful,-3,Possessed of great wrath; very angry.
wreck,-2,Something or someone that has been ruined.
wrong,-2,Something that is immoral or not good.
wronged,-2,To treat unjustly; to injure or harm.
wtf,-4,An expression of strong shock or disbelief. (Acronym for 'What The Fuck.')
yeah,1,"Expressing joy, celebration, glee, etc."
yearning,1,"To long, have a strong desire (for something)."
yeees,2,An enthusiastic way of saying yes. (Elongated form of 'yes.')
yes,1,An affirmative expression; an answer that shows agreement or acceptance.
youthful,2,Young or seeming young.
yucky,-2,Of something highly offensive; causing aversion or disgust.
yummy,3,(lighthearted) Delicious.
zealot,-2,"One who is zealous, one who is full of zeal for his own specific beliefs or objectives, usually in the negative sense of being too passionate; a fanatic"
zealots,-2,"One who is zealous, one who is full of zeal for his own specific beliefs or objectives, usually in the negative sense of being too passionate; a fanatic"
zealous,2,"Full of zeal; ardent, fervent; exhibiting enthusiasm or strong passion."
